ADM2_NA,ADM3_NA,uniq_id2,Climate_vul,Local_threats,bi_class
Ba,Ba,Teidamu Creek_Ba,5.9,3.547741582887805,3-2
Ba,Vuda,Teidamu Creek_Vuda,6.3,4.488172862177445,3-3
Ra,Rakiraki,Togovere_Rakiraki,5.7,2.851649119573485,2-1
Ra,Saivou,Togovere_Saivou,5.2,2.528227284157124,2-1
Ba,Nawaka,Tuva River_Nawaka,5.5,3.209959969648233,2-1
Bua,Bua,Vaganai_Bua,6.2,3.515637462340825,3-3
Macuata,Dogotuki,Vanuakumi_Dogotuki,5.1,1.302580222811342,1-1
Bua,Bua,Vatubogi_Bua,6.2,3.601160357894362,3-3
Ba,Ba,Vatutavui_Ba,5.9,3.747758674413304,3-2
Ba,Tavua,Vatutavui_Tavua,5.8,3.265199518594887,2-2
Ba,Magodro,Vitogo Creek_Magodro,4.7,2.434341026222382,2-1
Ba,Vuda,Vitogo Creek_Vuda,6.3,4.733209911327911,3-3
Bua,Bua,Votua River_Bua,6.2,3.875031734016073,3-3
Bua,Vuya,Votua River_Vuya,5.8,3.14233620292991,2-2
Bua,Wainunu,Votua River_Wainunu,5.7,2.043577720359919,1-1
Ba,Vuda,Vuda_Vuda,6.3,4.650708790653186,3-3
Ra,Rakiraki,Vunidogoloa_Rakiraki,5.7,3.244993687414039,2-1
Bua,Bua,Vunivau_Bua,6.2,3.645220053311463,3-3
Bua,Vuya,Vunivau_Vuya,5.8,2.905750634960038,2-2
Macuata,Dogotuki,Vunivia River_Dogotuki,5.1,1.747527231434237,1-1
Macuata,Labasa,Vunivutu_Labasa,5.8,3.268572099105452,2-2
Macuata,Sasa,Waikotoavou Creek_Sasa,5.3,2.318192550684487,2-1
Macuata,Labasa,Wailevu_Labasa,5.8,4.213334210490312,3-2
Ba,Ba,Wainacibayawa Creek_Ba,5.9,4.124472125526925,3-2
Ba,Tavua,Wainacibayawa Creek_Tavua,5.8,3.681404961560794,3-2
Macuata,Labasa,Wainikoro River_Labasa,5.8,3.92362815295477,3-2
Bua,Bua,Wainunu River_Bua,6.2,2.488171378254644,2-3
Bua,Vuya,Wainunu River_Vuya,5.8,2.095423138366885,1-2
Bua,Wainunu,Wainunu River_Wainunu,5.7,2.007186918717919,1-1
Macuata,Macuata,Wainunu River_Macuata,6.1,2.435713681210526,2-3
Bua,Vuya,Wairiki_Vuya,5.8,1.605203010692867,1-2
Bua,Wainunu,Wairiki_Wainunu,5.7,1.628979733800447,1-1
Ba,Tavua,Waisai Creek_Tavua,5.8,3.102108849643694,2-2
